Data,Type,data_type,data_shape,data_size
AwakeEventData/PMOTOR13,Group,,,
AwakeEventData/PMOTOR13/Acquisition,Group,,,
AwakeEventData/PMOTOR13/Acquisition/position,Dataset,int32,"(1,)",1
AwakeEventData/PMOTOR14,Group,,,
AwakeEventData/PMOTOR14/Acquisition,Group,,,
AwakeEventData/PMOTOR14/Acquisition/position,Dataset,int32,"(1,)",1
AwakeEventData/PMOTOR15,Group,,,
AwakeEventData/PMOTOR15/Acquisition,Group,,,
AwakeEventData/PMOTOR15/Acquisition/position,Dataset,int32,"(1,)",1
AwakeEventData/PMOTOR16,Group,,,
AwakeEventData/PMOTOR16/Acquisition,Group,,,
AwakeEventData/PMOTOR16/Acquisition/position,Dataset,int32,"(1,)",1
AwakeEventData/Plunger.412401,Group,,,
AwakeEventData/Plunger.412401/StartCounterSt,Group,,,
AwakeEventData/Plunger.412401/StartCounterSt/value,Dataset,int32,"(1,)",1
AwakeEventData/Plunger.412401/State,Group,,,
AwakeEventData/Plunger.412401/State/value,Dataset,int16,"(1,)",1
AwakeEventData/Plunger.412422,Group,,,
AwakeEventData/Plunger.412422/StartCounterSt,Group,,,
AwakeEventData/Plunger.412422/StartCounterSt/value,Dataset,int32,"(1,)",1
AwakeEventData/Plunger.412422/State,Group,,,
AwakeEventData/Plunger.412422/State/value,Dataset,int16,"(1,)",1
AwakeEventData/RADMON.AWAKE-1,Group,,,
AwakeEventData/RADMON.AWAKE-1/Acquisition,Group,,,
AwakeEventData/RADMON.AWAKE-1/Acquisition/SEUType1,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-1/Acquisition/SEUType2,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank1HadronFluence,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank1MBUCounts,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank1SEUCounts,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank2HadronFluence,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank2MBUCounts,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank2SEUCounts,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumNeutronFluence,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumTID1,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-1/Acquisition/cumTID2,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-1/Acquisition/lPar1,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-1/Acquisition/lPar2,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-1/Acquisition/lPar3,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-1/Acquisition/lParType,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-1/Acquisition/pinDiodeType,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-1/Acquisition/radfet1Type,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-1/Acquisition/radfet2Type,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-1/Acquisition/radmonStatus,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-1/Acquisition/revisionNumber,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-1/Acquisition/revisionType,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-2,Group,,,
AwakeEventData/RADMON.AWAKE-2/Acquisition,Group,,,
AwakeEventData/RADMON.AWAKE-2/Acquisition/SEUType1,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-2/Acquisition/SEUType2,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank1HadronFluence,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank1MBUCounts,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank1SEUCounts,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank2HadronFluence,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank2MBUCounts,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank2SEUCounts,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumNeutronFluence,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumTID1,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-2/Acquisition/cumTID2,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-2/Acquisition/lPar1,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-2/Acquisition/lPar2,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-2/Acquisition/lPar3,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-2/Acquisition/lParType,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-2/Acquisition/pinDiodeType,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-2/Acquisition/radfet1Type,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-2/Acquisition/radfet2Type,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-2/Acquisition/radmonStatus,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-2/Acquisition/revisionNumber,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-2/Acquisition/revisionType,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-3,Group,,,
AwakeEventData/RADMON.AWAKE-3/Acquisition,Group,,,
AwakeEventData/RADMON.AWAKE-3/Acquisition/SEUType1,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-3/Acquisition/SEUType2,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank1HadronFluence,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank1MBUCounts,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank1SEUCounts,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank2HadronFluence,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank2MBUCounts,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank2SEUCounts,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumNeutronFluence,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumTID1,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-3/Acquisition/cumTID2,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-3/Acquisition/lPar1,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-3/Acquisition/lPar2,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-3/Acquisition/lPar3,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-3/Acquisition/lParType,Dataset,float64,"(1,)",1
AwakeEventData/RADMON.AWAKE-3/Acquisition/pinDiodeType,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-3/Acquisition/radfet1Type,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-3/Acquisition/radfet2Type,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-3/Acquisition/radmonStatus,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-3/Acquisition/revisionNumber,Dataset,int32,"(1,)",1
AwakeEventData/RADMON.AWAKE-3/Acquisition/revisionType,Dataset,int32,"(1,)",1
AwakeEventData/RPADA.BB4.RQNI.412432,Group,,,
AwakeEventData/RPADA.BB4.RQNI.412432/MEAS.I,Dataset,float32,"(1,)",1
AwakeEventData/RPADA.BB4.RQNI.412432/REF.I,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBH.412344,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412344/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412344/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBH.412345,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412345/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412345/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBH.412347,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412347/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412347/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBH.412349,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412349/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412349/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBH.412353,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412353/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.412353/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBH.430011,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430011/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430011/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBH.430029,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430029/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430029/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBH.430040,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430040/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430040/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBH.430104,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430104/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430104/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBH.430130,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430130/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430130/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBH.430204,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430204/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430204/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBH.430309,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430309/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBH.430309/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBV.412344,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412344/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412344/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBV.412345,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412345/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412345/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBV.412347,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412347/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412347/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBV.412349,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412349/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412349/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBV.412353,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412353/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.412353/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBV.430011,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430011/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430011/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBV.430029,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430029/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430029/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBV.430040,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430040/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430040/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBV.430104,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430104/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430104/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBV.430130,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430130/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430130/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBV.430204,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430204/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430204/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RCIBV.430309,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430309/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RCIBV.430309/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RQID.412344,Group,,,
AwakeEventData/RPCAH.TSG4.RQID.412344/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RQID.412344/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RQID.412347,Group,,,
AwakeEventData/RPCAH.TSG4.RQID.412347/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RQID.412347/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RQID.430031,Group,,,
AwakeEventData/RPCAH.TSG4.RQID.430031/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RQID.430031/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RQID.430037,Group,,,
AwakeEventData/RPCAH.TSG4.RQID.430037/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RQID.430037/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RQID.430109S,Group,,,
AwakeEventData/RPCAH.TSG4.RQID.430109S/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RQID.430109S/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RQIF.412346,Group,,,
AwakeEventData/RPCAH.TSG4.RQIF.412346/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RQIF.412346/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RQIF.430034,Group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430034/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430034/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RQIF.430118,Group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430118/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430118/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RQIF.430205,Group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430205/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430205/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPCAH.TSG4.RQIF.430311,Group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430311/Acquisition,Group,,,
AwakeEventData/RPCAH.TSG4.RQIF.430311/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPPEF.BB4.RBIH.412435,Group,,,
AwakeEventData/RPPEF.BB4.RBIH.412435/MEAS.I,Dataset,float32,"(1,)",1
AwakeEventData/RPPEF.BB4.RBIH.412435/REF.I,Dataset,float32,"(1,)",1
AwakeEventData/RPSKN.TSG4.SNH.430000,Group,,,
AwakeEventData/RPSKN.TSG4.SNH.430000/Acquisition,Group,,,
AwakeEventData/RPSKN.TSG4.SNH.430000/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/RPSKN.TSG4.SNJ.430001,Group,,,
AwakeEventData/RPSKN.TSG4.SNJ.430001/Acquisition,Group,,,
AwakeEventData/RPSKN.TSG4.SNJ.430001/Acquisition/currentAverage,Dataset,float32,"(1,)",1
AwakeEventData/SPS.BCTDC.41435,Group,,,
AwakeEventData/SPS.BCTDC.41435/Acquisition,Group,,,
AwakeEventData/SPS.BCTDC.41435/Acquisition/acqDesc,Dataset,|S1,"(1,)",1
AwakeEventData/SPS.BCTDC.41435/Acquisition/acqMsg,Dataset,|S32,"(1,)",1
AwakeEventData/SPS.BCTDC.41435/Acquisition/acqState,Dataset,int32,"(1,)",1
AwakeEventData/SPS.BCTDC.41435/Acquisition/acqTime,Dataset,|S25,"(1,)",1
AwakeEventData/SPS.BCTDC.41435/Acquisition/calMarkerData,Dataset,int16,"(1120,)",1120
AwakeEventData/SPS.BCTDC.41435/Acquisition/cycleTime,Dataset,|S1,"(1,)",1
AwakeEventData/SPS.BCTDC.41435/Acquisition/dumpCycleTime,Dataset,int32,"(1,)",1
AwakeEventData/SPS.BCTDC.41435/Acquisition/dumpInt,Dataset,float32,"(1,)",1
AwakeEventData/SPS.BCTDC.41435/Acquisition/inCheckStatusData,Dataset,int16,"(1120,)",1120
AwakeEventData/SPS.BCTDC.41435/Acquisition/lowIbStatusData,Dataset,int16,"(1120,)",1120
AwakeEventData/SPS.BCTDC.41435/Acquisition/measStamp,Dataset,float32,"(940,)",940
AwakeEventData/SPS.BCTDC.41435/Acquisition/measStamp_unit,Dataset,int32,"(1,)",1
AwakeEventData/SPS.BCTDC.41435/Acquisition/measStamp_unitExponent,Dataset,float32,"(1,)",1
AwakeEventData/SPS.BCTDC.41435/Acquisition/nbOfAdcData,Dataset,int32,"(1,)",1
AwakeEventData/SPS.BCTDC.41435/Acquisition/nbOfMeas,Dataset,int32,"(1,)",1
AwakeEventData/SPS.BCTDC.41435/Acquisition/range1Data,Dataset,int16,"(1120,)",1120
AwakeEventData/SPS.BCTDC.41435/Acquisition/range2Data,Dataset,int16,"(1120,)",1120
AwakeEventData/SPS.BCTDC.41435/Acquisition/range3Data,Dataset,int16,"(1120,)",1120
AwakeEventData/SPS.BCTDC.41435/Acquisition/range4Data,Dataset,int16,"(1120,)",1120
AwakeEventData/SPS.BCTDC.41435/Acquisition/samplingTime,Dataset,int32,"(1,)",1
AwakeEventData/SPS.BCTDC.41435/Acquisition/sbfCycleTime,Dataset,int32,"(1,)",1
AwakeEventData/SPS.BCTDC.41435/Acquisition/sbfIntensity,Dataset,float32,"(1,)",1
AwakeEventData/SPS.BCTDC.41435/Acquisition/selectedRange,Dataset,int32,"(1,)",1
AwakeEventData/SPS.BCTDC.41435/Acquisition/slowCycleTime,Dataset,int32,"(1,)",1
AwakeEventData/SPS.BCTDC.41435/Acquisition/slowExtInt,Dataset,float32,"(1,)",1
AwakeEventData/SPS.BCTDC.41435/Acquisition/superCycleNb,Dataset,int32,"(1,)",1
AwakeEventData/SPS.BCTDC.41435/Acquisition/totalIntensity,Dataset,float32,"(940,)",940
AwakeEventData/SPS.BCTDC.41435/Acquisition/totalIntensity4Ranges,Dataset,float32,"(4, 1120)",4480
AwakeEventData/SPS.BCTDC.41435/Acquisition/totalIntensity_unit,Dataset,int32,"(1,)",1
AwakeEventData/SPS.BCTDC.41435/Acquisition/totalIntensity_unitExponent,Dataset,float32,"(1,)",1
AwakeEventData/SPS.BCTDC.41435/Acquisition/vmodStatus,Dataset,int32,"(1,)",1
AwakeEventData/SPS.BCTDC.51895,Group,,,
AwakeEventData/SPS.BCTDC.51895/Acquisition,Group,,,
AwakeEventData/SPS.BCTDC.51895/Acquisition/acqDesc,Dataset,|S1,"(1,)",1
AwakeEventData/SPS.BCTDC.51895/Acquisition/acqMsg,Dataset,|S32,"(1,)",1
AwakeEventData/SPS.BCTDC.51895/Acquisition/acqState,Dataset,int32,"(1,)",1
AwakeEventData/SPS.BCTDC.51895/Acquisition/acqTime,Dataset,|S25,"(1,)",1
AwakeEventData/SPS.BCTDC.51895/Acquisition/calMarkerData,Dataset,int16,"(1120,)",1120
AwakeEventData/SPS.BCTDC.51895/Acquisition/cycleTime,Dataset,|S1,"(1,)",1
AwakeEventData/SPS.BCTDC.51895/Acquisition/dumpCycleTime,Dataset,int32,"(1,)",1
AwakeEventData/SPS.BCTDC.51895/Acquisition/dumpInt,Dataset,float32,"(1,)",1
AwakeEventData/SPS.BCTDC.51895/Acquisition/inCheckStatusData,Dataset,int16,"(1120,)",1120
AwakeEventData/SPS.BCTDC.51895/Acquisition/lowIbStatusData,Dataset,int16,"(1120,)",1120
AwakeEventData/SPS.BCTDC.51895/Acquisition/measStamp,Dataset,float32,"(940,)",940
AwakeEventData/SPS.BCTDC.51895/Acquisition/measStamp_unit,Dataset,int32,"(1,)",1
AwakeEventData/SPS.BCTDC.51895/Acquisition/measStamp_unitExponent,Dataset,float32,"(1,)",1
AwakeEventData/SPS.BCTDC.51895/Acquisition/monitorArray1,Dataset,int16,"(1120,)",1120
AwakeEventData/SPS.BCTDC.51895/Acquisition/monitorArray2,Dataset,int16,"(1120,)",1120
AwakeEventData/SPS.BCTDC.51895/Acquisition/nbOfAdcData,Dataset,int32,"(1,)",1
AwakeEventData/SPS.BCTDC.51895/Acquisition/nbOfMeas,Dataset,int32,"(1,)",1
AwakeEventData/SPS.BCTDC.51895/Acquisition/range1Data,Dataset,int16,"(1120,)",1120
AwakeEventData/SPS.BCTDC.51895/Acquisition/range2Data,Dataset,int16,"(1120,)",1120
AwakeEventData/SPS.BCTDC.51895/Acquisition/range3Data,Dataset,int16,"(1120,)",1120
AwakeEventData/SPS.BCTDC.51895/Acquisition/range4Data,Dataset,int16,"(1120,)",1120
AwakeEventData/SPS.BCTDC.51895/Acquisition/samplingTime,Dataset,int32,"(1,)",1
AwakeEventData/SPS.BCTDC.51895/Acquisition/sbfCycleTime,Dataset,int32,"(1,)",1
AwakeEventData/SPS.BCTDC.51895/Acquisition/sbfIntensity,Dataset,float32,"(1,)",1
AwakeEventData/SPS.BCTDC.51895/Acquisition/selectedRange,Dataset,int32,"(1,)",1
AwakeEventData/SPS.BCTDC.51895/Acquisition/slowCycleTime,Dataset,int32,"(1,)",1
AwakeEventData/SPS.BCTDC.51895/Acquisition/slowExtInt,Dataset,float32,"(1,)",1
AwakeEventData/SPS.BCTDC.51895/Acquisition/superCycleNb,Dataset,int32,"(1,)",1
AwakeEventData/SPS.BCTDC.51895/Acquisition/totalIntensity,Dataset,float32,"(940,)",940
AwakeEventData/SPS.BCTDC.51895/Acquisition/totalIntensity4Ranges,Dataset,float32,"(4, 1120)",4480
AwakeEventData/SPS.BCTDC.51895/Acquisition/totalIntensity_unit,Dataset,int32,"(1,)",1
AwakeEventData/SPS.BCTDC.51895/Acquisition/totalIntensity_unitExponent,Dataset,float32,"(1,)",1
AwakeEventData/SPS.BCTDC.51895/Acquisition/vmodStatus,Dataset,int32,"(1,)",1
AwakeEventData/SPSBQMSPSv1,Group,,,
AwakeEventData/SPSBQMSPSv1/Acquisition,Group,,,
AwakeEventData/SPSBQMSPSv1/Acquisition/beamOk,Dataset,bool,(),1
AwakeEventData/SPSBQMSPSv1/Acquisition/bqmOutputEnable,Dataset,bool,(),1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensities,Dataset,float32,"(288,)",288
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityMax,Dataset,float32,"(1,)",1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityMaxThr,Dataset,float32,"(1,)",1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityMean,Dataset,float32,"(1,)",1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityMin,Dataset,float32,"(1,)",1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityMinThr,Dataset,float32,"(1,)",1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityModIndex,Dataset,float32,"(1,)",1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityModIndexOk,Dataset,bool,(),1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityModIndexThr,Dataset,float32,"(1,)",1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityOk,Dataset,bool,(),1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityStd,Dataset,float32,"(1,)",1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthMax,Dataset,float32,"(1,)",1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthMaxThr,Dataset,float32,"(1,)",1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthMean,Dataset,float32,"(1,)",1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthMin,Dataset,float32,"(1,)",1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthMinThr,Dataset,float32,"(1,)",1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthOk,Dataset,bool,(),1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthStd,Dataset,float32,"(1,)",1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthStdOk,Dataset,bool,(),1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthStdThr,Dataset,float32,"(1,)",1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengths,Dataset,float32,"(288,)",288
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakMax,Dataset,float32,"(1,)",1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakMaxThr,Dataset,float32,"(1,)",1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakMean,Dataset,float32,"(1,)",1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakMin,Dataset,float32,"(1,)",1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakMinThr,Dataset,float32,"(1,)",1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakOk,Dataset,bool,(),1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakStd,Dataset,float32,"(1,)",1
AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakStdOk,Dataset,bool,(),1
